Data,PBEE_Hidroelectr,PBEE_Carbo,PBEE_GasNat,PBEE_Fuel-Oil,PBEE_CiclComb,PBEE_Nuclear,CDEEBC_ProdBruta,CDEEBC_ConsumAux,CDEEBC_ProdNeta,CDEEBC_ConsumBomb,CDEEBC_ProdDisp,CDEEBC_TotVendesXarxaCentral,CDEEBC_SaldoIntercanviElectr,CDEEBC_DemandaElectr,CDEEBC_TotalEBCMercatRegulat,CDEEBC_TotalEBCMercatLliure,FEE_Industria,FEE_Terciari,FEE_Domestic,FEE_Primari,FEE_Energetic,FEEI_ConsObrPub,FEEI_SiderFoneria,FEEI_Metalurgia,FEEI_IndusVidre,FEEI_CimentsCalGuix,FEEI_AltresMatConstr,FEEI_QuimPetroquim,FEEI_ConstrMedTrans,FEEI_RestaTransforMetal,FEEI_AlimBegudaTabac,FEEI_TextilConfecCuirCalçat,FEEI_PastaPaperCartro,FEEI_AltresIndus,DGGN_PuntFrontEnagas,DGGN_DistrAlimGNL,DGGN_ConsumGNCentrTerm,CCAC_GasolinaAuto,CCAC_GasoilA
01/2017,220.8,0,0,0,686,2345.7,3252.5,119.5,3133,21.2,3111.9,846.4,469.6,4427.8,0.0%,100.0%,1144.7,1143,1127.7,29.2,52.9,21,114.2,10.9,26,23,19.8,392.5,50.3,83,151.6,58.8,72.2,121.4,7953.3,20.8,1472.2,60.8,285.1
02/2017,246,0,0,0,436.1,2125.8,2807.8,98.4,2709.5,24.6,2684.9,744.4,336.9,3766.2,0.0%,100.0%,1173.7,1135.8,990.9,26.8,50.7,21.8,133,13.2,27.1,34.4,20.7,351.2,56,98,155,48.3,73.6,141.4,5854.6,13.9,983.6,60.9,285.8
03/2017,350.4,0,0,0,487.5,2354,3191.9,110.3,3081.6,19.6,3061.9,805.3,118,3985.3,0.0%,100.0%,1213.9,1070.5,905.3,25.9,46.6,19.7,126.8,13.1,25.1,22.6,18.2,407.4,57.8,98.8,148.4,57.7,72.3,145.9,5805.7,10.4,1083,72.1,331.5
04/2017,341.3,0,0,0,424,2225.6,2990.9,113.6,2877.3,16.5,2860.8,791.4,-71.2,3581,0.0%,100.0%,1379.7,1116.1,842.7,27.2,50.7,19.8,154.8,14.5,27.7,32.5,22.3,473.2,63,106.2,164.8,62.3,80.9,157.8,4843.3,6.2,938.9,70.1,296.3
05/2017,428.9,0,0,0,487.1,1846.1,2762.1,95.6,2666.5,8.1,2658.4,845.7,370.7,3874.8,0.0%,100.0%,1263.8,1061.4,813.6,29.4,52.3,18.4,131.2,12,25.8,35.1,27,464.4,52.1,89.2,147.9,54,75.1,131.7,4768.6,6.5,1079.5,71.8,327.3
06/2017,341.4,0,0,0,822,1582.5,2746,97.3,2648.6,6.1,2642.5,801,705.2,4148.6,0.0%,100.0%,1397.5,1172.3,820.4,36.5,53.6,20.2,141.2,14.4,27.7,31.8,24.7,477.7,65.2,107.8,178.8,61.6,87,159.4,5084.3,3.5,1715.6,77.6,332.8
07/2017,233.9,0,0,0,816.1,2293.1,3343.1,124.8,3218.4,0.6,3217.7,830.1,318,4365.8,0.0%,100.0%,1360.9,1299.3,829.1,40.7,55.1,22,139.5,13.7,26.1,33.4,25.5,453.4,67.2,108,175.8,61.2,78.6,156.5,5078.8,2.6,1732.9,81.1,335.5
08/2017,210.1,0,0,0,780.4,2287.3,3277.8,124.7,3153.1,5.3,3147.8,760.8,153.6,4062.2,0.0%,100.0%,1383.6,1416.7,982.3,51.5,56.5,24.1,118.4,14.4,27.3,34.3,26.5,458.9,68.2,111.4,200.2,59.2,79.4,161.4,4662.7,2.7,1675.6,80.4,311.2
09/2017,186.4,0,0,0,647.2,2224.1,3057.8,116.8,2941,6.8,2934.2,721.9,164,3820.1,0.0%,100.0%,1199,1362.8,883.9,48.8,55.8,21.1,93.8,8.7,25.8,34.2,21,433.6,57.9,73.6,191.1,36.8,79.7,121.9,4709.8,0.2,1379.3,72.1,298.8
10/2017,140.2,0,0,0,858.7,2165.6,3164.5,123.1,3041.4,7,3034.4,725.2,83.3,3842.9,0.0%,100.0%,1329.6,1176,793.6,40.1,52.3,20.5,131.3,13.8,25.8,31.1,24.2,453.9,66.9,101.8,174.5,57.8,79.1,148.8,5391.3,3.8,1801.9,71.7,308.9
11/2017,113.6,0,0,0,1041.4,1521,2676,97.2,2578.8,11.1,2567.7,841.3,631.9,4040.9,0.0%,100.0%,1329.4,1183.3,888.7,35.3,52.8,21.3,143.2,13.7,26.3,34.3,24.3,432.5,66.1,102.2,174.1,58.6,80.7,151.9,7256.7,0.9,2139.6,66.4,309.9
12/2017,149.1,0,0,0,709.1,2284.4,3142.6,122.1,3020.5,33,2987.5,925.7,240,4153.2,0.0%,100.0%,1336.2,1103,1016.8,29.2,49.6,21.4,152.1,15.1,26.4,33.3,24.3,434.7,61.5,108.7,173.4,59.6,72.2,153.6,7698.7,1.6,1509.1,71.7,305.6
01/2018,213.5,0,0,0,623.8,2360.4,3197.8,116.2,3081.5,22.3,3059.3,975,-38.1,3996.2,0.0%,100.0%,1132.8,1191,1104.3,26.8,51.1,22,114.2,10.8,26.5,30.7,19.7,360.9,50.2,85.5,153.5,47.4,86.3,124.9,7136.1,23,1301.3,65.8,297.6
02/2018,198,0,0,0,586.9,2129.7,2914.6,98.2,2816.4,4.9,2811.4,786.8,293.2,3891.4,0.0%,100.0%,1225.3,1156.3,1029.8,27.3,50.3,20.8,137.2,13.9,23.7,30.5,23.1,342.9,59.3,108,166.5,60.3,86.3,152.6,7110.3,25.1,1233.5,62.8,291.3
03/2018,342.3,0,0,0,498.2,1556.4,2397,94.2,2302.7,19.7,2283,963.9,686.1,3933,0.0%,100.0%,1132.4,1090.5,1025,28.9,50.3,26.7,133.7,13.7,24.7,30.9,22.4,278.1,59.2,105,149.1,57.7,80.6,150.7,6269.8,21.4,1136.1,75.9,340.6
04/2018,513.9,0,0,0,440.3,1500.5,2454.7,89.9,2364.8,7.9,2356.9,831,350,3538,0.0%,100.0%,1232.2,1172.1,963.1,29,50.3,24.2,150.2,14.2,26.6,35.6,23.6,330.2,61.1,105.4,163.7,58.4,81.7,157.4,5075.1,8.4,988.8,71.2,308.9
05/2018,634.5,0,0,0,589.2,1442.6,2666.3,125.1,2541.2,5.6,2535.6,869.6,233.7,3638.9,0.0%,100.0%,1197.2,1102,824.8,29.7,53.8,21.4,144.8,13.4,25.6,34,23.9,327.3,58.4,98.4,165.2,53.6,79.8,151.6,5043,5.7,1289,77.9,334.1
06/2018,654.9,0,0,0,601.5,1373.3,2629.6,81.3,2548.3,2.5,2545.8,809.4,368.1,3723.3,0.0%,100.0%,1194.5,1127,779.1,31,50.3,21.6,146.5,14.7,27.2,33.6,25.2,323.5,67.9,101.3,151.4,58,76.8,146.9,4346.4,3.3,1269.6,81,332.1
07/2018,434.2,0,0,0,675.6,1602,2711.8,111,2600.8,1.3,2599.4,805.2,815.5,4220.1,0.0%,100.0%,1254.5,1221.4,879.2,38.8,50.2,21.7,143.8,14.6,25.2,27.3,24.5,326.1,72.1,113.4,176.2,56.1,83.2,170.1,4821.1,3.2,1466.6,89.7,351.1
08/2018,271.2,0,0,0,649.6,2305,3225.8,119.9,3105.8,1.2,3104.6,754.6,23.6,3882.9,0.0%,100.0%,1268.9,1432.1,1043.1,49.7,50.8,29.7,115.8,13.5,27.5,30.6,26.5,331.3,78.6,115.1,198.1,54.7,80.6,166.8,4495.4,4.1,1411.3,87.7,319.7
