Data,PBEE_Hidroelectr,PBEE_Carbo,PBEE_GasNat,PBEE_Fuel-Oil,PBEE_CiclComb,PBEE_Nuclear,CDEEBC_ProdBruta,CDEEBC_ConsumAux,CDEEBC_ProdNeta,CDEEBC_ConsumBomb,CDEEBC_ProdDisp,CDEEBC_TotVendesXarxaCentral,CDEEBC_SaldoIntercanviElectr,CDEEBC_DemandaElectr,CDEEBC_TotalEBCMercatRegulat,CDEEBC_TotalEBCMercatLliure,FEE_Industria,FEE_Terciari,FEE_Domestic,FEE_Primari,FEE_Energetic,FEEI_ConsObrPub,FEEI_SiderFoneria,FEEI_Metalurgia,FEEI_IndusVidre,FEEI_CimentsCalGuix,FEEI_AltresMatConstr,FEEI_QuimPetroquim,FEEI_ConstrMedTrans,FEEI_RestaTransforMetal,FEEI_AlimBegudaTabac,FEEI_TextilConfecCuirCalçat,FEEI_PastaPaperCartro,FEEI_AltresIndus,DGGN_PuntFrontEnagas,DGGN_DistrAlimGNL,DGGN_ConsumGNCentrTerm,CCAC_GasolinaAuto,CCAC_GasoilA
02/2022,130.9,0,0,0,418.2,2127.3,2676.3,96.8,2579.5,12.1,2567.4,678.2,226,3471.7,0.0%,100.0%,,,,,,,,,,,,,,,,,,,5513,27.3,929.3,78.6,324.8
03/2022,160.8,0,0,0,409.6,2351.8,2922.3,110,2812.2,15.6,2796.6,676,283.3,3755.8,0.0%,100.0%,,,,,,,,,,,,,,,,,,,5851.3,24.5,913.3,84.2,339.9
04/2022,261.5,0,0,0,406.4,2024.3,2692.1,100.4,2591.7,24.8,2566.9,651.9,156.8,3375.6,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4505.9,17.9,907.8,85.9,330.3
05/2022,386.1,0,0,0,546,1574.1,2506.1,86.1,2420,21.6,2398.4,631.4,429.5,3459.3,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4182.8,7.9,1141.3,92.1,337.6
01/2005,213.8,93.9,147.2,148.8,862.9,2298.2,3764.9,144.2,3620.7,61.9,3558.8,563,106.3,4228.1,60.6%,39.4%,1258,1107,968.1,28.8,16.5,24.1,96,13.4,29,67.2,32.3,359.8,48.7,119.4,133.7,104,69.3,161.2,9058.5,31.2,2223.3,97.3,283.9
02/2005,186.5,93.8,197.3,94.5,855.2,2087.2,3514.5,129.8,3384.7,56,3328.7,492.3,177.2,3998.3,59.1%,40.9%,1324.1,1147.1,1039.9,29,18.2,25.8,106,14.2,31.5,68.4,35,351.9,54.8,135.8,133.5,110.6,75.3,181.3,8737.7,29.7,2296.7,95.5,300.3
03/2005,256.9,108.2,161,198.6,785.2,1628.3,3138.3,130.4,3007.9,68.1,2939.8,511.7,607.4,4058.8,58.0%,42.0%,1366.6,1111.8,963.9,28.3,17,27.8,137.3,15.5,26.3,64,35.9,347.5,59.9,143.7,131.2,115.3,72.3,189.8,7812.7,24.7,2095.3,111.4,322.9
04/2005,279.9,40.4,143.1,4.4,765.8,1244.6,2478.1,90.3,2387.9,55.1,2332.8,518.5,871.2,3722.5,54.5%,45.5%,1440.9,1133.4,926.3,30.1,18.4,25.1,143.4,15.3,30.5,62.8,37.3,397.9,63.9,139.4,138.7,119.4,76.9,190.1,6603.4,14.4,1973.6,106.2,323.8
05/2005,477.2,106.7,157.8,1.2,548,1437.6,2728.5,111.6,2616.9,55.1,2561.8,537.5,623.2,3722.6,52.6%,47.4%,1475.4,1062.6,791.2,30.3,18.4,24,150.6,15.7,29.8,65.9,35.2,424.8,61.9,139,144.6,114.8,75.6,193.4,5749.1,9.1,1632.9,112.6,330.1
06/2005,423.4,113.8,230.9,5.6,627.9,1381.9,2783.5,122.6,2660.9,64.3,2596.6,520.1,803.6,3920.3,52.7%,47.3%,1539.4,1086.7,690.6,32.5,18.7,21.5,150.6,15,32.1,68.8,36.2,477.1,64.3,137.7,151.3,116,74.5,194.4,5722.7,8.3,2054.3,114.6,323.8
07/2005,276.9,106.7,331.6,12.7,974.2,1425.2,3127.3,137.1,2990.2,66.3,2923.9,498.9,829.3,4252.2,53.6%,46.4%,1486.8,1235.6,708,42.2,17.9,23.7,144.9,15.5,30.5,68,36.4,397.8,73.2,142.5,157.9,117.5,79.8,199.1,6905.7,7.1,3027.4,124.9,343.7
08/2005,198.4,24.1,98.9,0,851.9,1426.3,2599.6,125.3,2474.3,1,2473.3,477.4,585.1,3535.8,54.4%,45.6%,1500,1310.4,913.7,43.9,19,25.1,143.4,16.4,30.5,70.1,34.3,404.3,81.4,140.1,166.5,111,80.3,196.7,5302.8,9.6,2071.9,116.7,292
09/2005,206.2,79.3,72.1,0,857,1988.7,3203.3,135.1,3068.2,41.5,3026.7,493,316.8,3836.5,50.8%,49.2%,1219.9,1214.6,721.6,42.8,13.6,21.9,134.3,8.6,23.6,63.2,26.5,388.9,43.6,89.2,155.7,57.8,70,136.5,5998.7,8.9,1982.1,106.3,312.1
10/2005,183.2,82.9,121.7,2.4,714.2,1461.5,2566,109.5,2456.5,55.7,2400.8,451.5,878.4,3730.8,51.7%,48.3%,1492.6,1199.2,750.9,38.6,17.2,22.7,149.1,15.2,30,66,34.6,409.8,75.6,137,162.5,112.8,81.5,196,5774.1,11.1,1855.9,105.7,309.8
11/2005,215.5,73.6,92.8,6.9,776.8,2043.7,3209.2,129.1,3080.2,66.1,3014,505.7,387.8,3907.5,54.0%,46.0%,1462.4,1151.7,756.8,29.1,15.4,22.9,152,15.5,30.8,71.9,37.2,398.4,64.1,135,156.1,105.5,79.9,193.2,7131.2,21.4,1885.2,98.7,311.3
12/2005,218.1,69.4,166.9,12.5,775.8,2252.3,3495,136.7,3358.3,71.9,3286.4,488.5,605.9,4380.7,60.4%,39.6%,1346.4,1050.2,868.1,26.5,15,24.5,109.8,15.2,30,68.8,35,361.8,64.8,131.9,147.4,99.5,72,185.8,8522.5,33.9,2114.4,105.3,314.3
01/2006,244,109.5,192,51.5,799,2156,3552.1,139.4,3412.6,72,3340.6,463.1,620,4423.7,60.4%,39.6%,1346.4,1169.9,1028.9,28.6,16.2,27.8,151.2,13.2,28.9,68.1,34.4,374.7,58.7,118.7,137.7,90.1,74.5,168.5,8431.1,28.3,2205.2,92.7,297.5
02/2006,193.9,92.8,127.7,28.8,859,1964,3266.2,120.4,3145.8,63.1,3082.7,481.2,352.2,3916,60.0%,40.0%,1373.7,1184.4,1073.5,31.4,17.6,27.9,132.2,13.2,28.1,65.4,38.9,355.7,59.7,135.4,135.9,108.8,78.2,194.4,7896.4,23.3,2144.8,91.7,305.9
03/2006,260.9,78.3,17.9,0,798.3,2115.8,3271.3,127.8,3143.5,27.5,3116,512.9,517.8,4146.7,60.1%,39.9%,1387.6,1232.5,981.3,27.1,16.7,30.5,147.1,17.8,26.8,66.9,38,328.3,66.9,146.5,136.6,101.6,81.8,198.7,7138.9,24,1744.8,102.6,350.8
04/2006,331.1,97.6,0,0,810.4,814.6,2053.8,86.2,1967.6,36.9,1930.7,485.5,1135.1,3551.3,60.5%,39.5%,1473.7,1112,941.4,29.8,15.8,27.6,170.9,16.8,31.6,71.8,38.3,378.1,69.6,139.9,141,103,84.1,200.9,5720.2,10.9,1667.9,102.4,309
05/2006,381.8,95,3.7,0,849.6,1959.3,3289.4,124.9,3164.5,40.3,3124.1,473,297.5,3894.6,60.0%,40.0%,1407.8,1084.1,808.3,31.7,14,24.4,149.4,13.8,35,69.2,34,422.7,52.2,117.3,143.3,96.4,70.3,179.5,5851,6.3,1758.8,107.2,350.4
06/2006,238.2,107.6,76.4,0,873.3,2137.1,3432.7,140.7,3292,52.1,3239.8,390.2,367.1,3997.2,61.0%,39.0%,1527.5,1143.3,746,35.8,7.5,23.7,167.6,15.5,30.3,71.2,40.1,434.9,59.7,145.6,158.9,100.7,69,210.3,5819.7,4.8,2060.4,107.9,342.9
07/2006,230.1,111.9,244.4,0.8,928.1,2159.4,3674.8,145.9,3528.9,76.1,3452.8,395.3,762,4610.1,63.5%,36.5%,1520,1217.9,766.5,39,8.5,22.6,156.4,16.3,32.8,64.7,34.3,414.3,92.3,139.8,159.8,104,81.7,201,6372.6,4,2694.8,116.4,350.9
08/2006,155.3,88,77.9,0,710.5,2035.3,3067.1,134.7,2932.5,61.5,2871,377.5,495.2,3743.7,63.5%,36.5%,1501.4,1423,879,42.1,18.9,24.8,156.2,15.6,29.3,71.2,35.5,393.3,80.5,139.8,170.2,99.6,78.7,206.8,4728.8,4.2,1753.4,108,299.1
09/2006,184.3,83.5,109,0,791.5,1442.5,2610.8,112.6,2498.2,40.6,2457.6,403.4,1104.2,3965.2,62.5%,37.5%,1258.3,1297.9,775.4,43.9,8.1,22.4,149.1,8.6,29.9,65.2,26.6,383.5,36.4,98.1,162.3,59.7,70.3,146.2,5614.9,4.9,2000.4,102.4,324.3
10/2006,189.3,39.1,59.8,0,499.9,2169.5,2957.6,113,2844.6,43.1,2801.5,423.4,720.3,3945.2,62.5%,37.5%,1534.6,1297.5,801.6,36.4,8.1,26.4,162.3,15.2,30.1,66.4,35.9,442.3,81.9,129.3,168.9,93.9,84.4,197.8,5097.4,5.7,1279.5,101.9,336.3
11/2006,208.5,108.9,16.3,0,439.1,2206.2,2978.9,121.2,2857.7,39.2,2818.5,460.8,578.6,3857.8,63.9%,36.1%,1539.7,1316.5,804.5,29.8,13.1,28.9,165.5,16.1,27,75.2,36.9,410.9,69.6,148.4,165.3,102.9,91.9,200.8,5518.5,11.1,1006.2,95.1,330.2
12/2006,247.2,90.7,10.7,0,403.5,2278.2,3030.3,124.8,2905.4,50,2855.4,474.4,804.2,4134.1,67.2%,32.8%,1360.5,1074.6,808.1,25.5,10.4,24.2,125.2,14.6,31.3,70.4,36.1,360,63.9,126.5,147.5,92,76.6,192.1,6867.7,23.8,960.9,98.8,310.5
01/2007,178.7,83.7,39.5,1.8,745.1,2283.1,3331.8,134.6,3197.1,49.6,3147.5,486.1,781.7,4415.3,66.9%,33.1%,1270.4,1168.8,959.5,28.6,11.6,29.1,131.3,13,31.3,70.6,33.6,353.6,54,109.8,137.1,80.6,62.5,164,8093,25.2,1701.7,90.7,323.5
02/2007,150.6,52.3,62.4,0.6,558.8,2093.7,2918.3,110.8,2807.5,42.6,2764.9,409.2,726.9,3901,65.0%,35.0%,1393,1159.5,1086.1,27.2,14,27.9,144.7,15.3,31.3,64.1,34.1,387.7,60.9,137.7,144.1,94.5,64.2,186.6,6671.2,20.4,1410.1,86.1,317
03/2007,241.1,48.8,0,0,657.6,2072.4,3019.9,113.3,2906.6,41.8,2864.8,438.3,882.1,4185.2,63.5%,36.5%,1425.3,1230.5,948,28.4,11.9,41.4,118.1,19.7,28.8,65.6,42.1,375.9,59.6,144.1,140.5,93.6,86.5,209.4,6766.6,18.2,1445.4,100.8,367.4
04/2007,435.8,99.5,0,0,722.5,1401.7,2659.5,102.3,2557.1,37.1,2520.1,463.4,788.7,3772.2,62.6%,37.4%,1496.9,1188,907.5,28.6,11.4,30.1,167.3,13.8,29.7,72.3,38.6,405.9,55,145.6,150.6,102.5,75.4,210.2,5964.8,11.2,1536,95.6,325.8
05/2007,523.8,65.3,3.2,0,843.9,1218,2654.2,105.8,2548.4,45.3,2503.1,491.1,994.8,3988.9,59.7%,40.3%,1428.3,1233.5,859.5,27.8,9.4,27.1,153.3,14.6,29.7,75,36.2,384.2,52.1,125.5,144,91.4,112.8,182.4,5870.4,5.9,1821.3,101.1,360.9
06/2007,379.4,75.9,62.2,0,1017.7,1430,2965.2,112.5,2852.7,48.6,2804.1,453.6,807.1,4064.8,59.3%,40.7%,1548.1,1240.7,756,31.3,10.7,24.1,168.3,16.8,29.3,72.3,38,434.2,66.4,136.7,162.8,103.9,87.8,207.4,6131.5,4.8,2294.3,104.6,354.5
07/2007,252.3,98.6,92.4,0,1146.2,1481.6,3071.1,126.8,2944.3,42.6,2901.7,423.1,1044.2,4369.1,59.4%,40.6%,1516.8,1252.1,773.1,34.6,11.2,25.7,158.2,16.5,25.8,73,35.7,412.8,69.5,146.1,161.3,96.4,85.4,210.7,6455.7,4.4,2698.5,111.1,372.7
08/2007,169.9,70.4,27.2,0,905.5,1415,2587.9,111.8,2476.1,29.4,2446.7,403.1,934.1,3783.9,61.1%,38.9%,1542.6,1388.1,793.2,40.1,7.7,24,160.1,16.3,28.2,75.4,37.3,422.9,71.7,137.9,175.1,92.4,87.4,213.9,5214.6,3.8,2000.6,105.5,318.7
09/2007,183.5,82,14.1,0,946.1,1918.8,3144.4,129.5,3014.9,27.7,2987.2,385.8,613.2,3986.2,57.9%,42.1%,1267.9,1346.9,734,41.2,9.9,24.7,139.9,9.1,29.1,65.6,25.6,391.3,46.6,97.8,162.1,51.8,80.6,143.7,5740.9,4.7,2054.5,94.5,317.8
10/2007,165.1,67.7,29.6,0,1137.6,2121.7,3521.7,131.3,3390.3,40.5,3349.9,435.7,290.3,4075.9,57.8%,42.2%,1486.2,1328.2,855.7,38,14.4,25.1,161.5,14.8,29.7,70.7,33.7,426.4,66,130.5,164.2,89.8,81.7,192,6718.6,6.5,2468.7,100.5,359.6
11/2007,123.8,0,42.8,0,1389.4,1502.9,3058.9,103.9,2955,42.5,2912.5,467.4,817.2,4197,59.8%,40.2%,1574.7,1317.8,855.3,30,10.6,28.7,189.6,16.8,31.7,72.7,37.1,413.7,64.2,142.8,169.2,100.9,93.4,213.9,8530.2,16.5,2986.4,91.3,340.5
12/2007,152.2,33.4,35.9,0,1196.8,1899.4,3317.6,127.7,3189.9,62,3127.9,464,714.4,4306.3,63.4%,36.6%,1413.8,1190.5,900.5,25.4,10.7,27.6,141.8,16,30.3,65.5,36.6,372.2,60.8,136.9,151,93.6,82.5,199.2,8500.5,26.3,2578.3,92.4,311.7
01/2008,155.2,102,0.2,0,1373.8,2315.2,3946.5,140.8,3805.7,50.1,3755.7,483.8,237.8,4477.3,60.6%,39.4%,1301.9,1281.9,1070.3,28,17.7,32,131,11.5,27.4,71.3,33.1,376.2,49.6,109.7,134.4,73.7,94.2,157.8,9035.4,23.9,2814.8,85.3,329.1
02/2008,131.1,102.7,19.3,0,1119,2163.7,3535.8,132.6,3403.2,43.8,3359.5,436.4,367.8,4163.6,59.0%,41.0%,1445.8,1281.5,1128.5,30.2,15,35.1,143.1,17.1,26.8,68.5,34.7,372.7,62.4,138,152.9,93.9,98,202.6,8074.2,20.1,2387,84.8,326.6
03/2008,157.4,23.4,0,0,1168.9,2301.1,3650.7,128.1,3522.6,48.7,3473.9,530.9,156.5,4161.4,60.0%,40.0%,1391.6,1241.7,979.9,26.2,13.7,33.5,125.3,16.3,32.2,68.9,39.4,348,62.8,139.7,145.3,88.5,92.1,199.7,7646.7,19.2,2402.3,90.2,322.1
04/2008,293.3,0,26.2,0,875.9,2234.9,3430.3,108.9,3321.3,29,3292.3,497.7,179.3,3969.2,56.7%,43.3%,1430.2,1213.2,935.7,33,9.1,32.9,169.2,14.5,29,68.5,38.8,393.9,54.2,127,142.4,84.5,91.2,184.2,6329.1,12.3,1858.8,90.3,341.6
05/2008,499.3,0,0,0,777.2,2306.4,3582.9,116.6,3466.3,22.4,3443.9,497.5,-15.3,3926,56.0%,44.0%,1470.4,1223,850.7,30.2,10.3,32,163.6,13.4,29,66,36.9,395.2,62.4,132,150.4,91.4,96.8,201.2,5524.6,7.2,1653.7,91,333
06/2008,591.9,0,80.5,0,783,1563.1,3018.4,106.1,2912.3,38.1,2874.2,531.8,477.3,3883.3,55.1%,44.9%,1468.2,1161.7,767.1,27.1,10,27.8,171.6,18.4,29,64.8,37,420.8,43.4,132.9,155.6,88.6,90.7,187.6,5579.7,4.8,1907.3,90.6,308.3
07/2008,381.1,16.3,57.7,0,923.1,1604.9,2983.1,99.9,2883.2,33.7,2849.5,506.5,1101.2,4457.2,43.0%,57.0%,1385.5,1271.3,798.5,26.6,9.8,26.3,156.1,13.5,27.8,55.1,35.4,368.5,62.9,126.5,160.6,75.2,92.1,185.3,5900.4,4.3,2124.5,104.6,366.8
08/2008,218.8,34.1,106.7,0,893.8,2046.2,3299.6,100.1,3199.5,18.5,3181,446.2,261.7,3888.9,43.4%,56.6%,1410.1,1385.4,842.9,34,7.9,30.4,171.2,16.5,27.6,57.9,32.7,339.1,56.1,137.9,178.3,73.5,84,205,5324,3.7,2239.6,96,291.9
09/2008,206.9,79.2,65.4,0,929,1382.3,2662.7,80.2,2582.6,18.2,2564.4,500.9,915.3,3980.6,40.6%,59.4%,1230.5,1359.7,855.2,33.3,9.7,26.8,148.4,8.7,26.7,57.9,22.2,339.1,85.2,85.7,166.1,40.5,93.6,129.6,5841.2,5,2169.6,89.3,299
10/2008,131.1,61.5,39.9,0,1155.8,1317.9,2706.2,91.7,2614.5,27,2587.4,525.2,887.1,3999.7,40.6%,59.4%,1352.6,1418.5,935.7,39.5,10,31.4,166.9,15.1,26.7,57.9,31.5,339.1,45.8,128,162.6,83.6,88.3,175.7,6632,6.3,2548.9,91.2,327.1
11/2008,235.9,43.2,27,0,807.7,1507.1,2621,78.3,2542.7,35.3,2507.4,558.5,949.3,4015.2,46.2%,53.8%,1329.3,1269.1,811.6,42.7,9.8,32.9,137.5,15.8,26.7,58,34.1,339.1,42.9,124.4,167.3,78.9,88.1,183.7,7034.1,18.6,1825.4,82.6,295.4
01/2009,247.9,0,42.8,0,490.4,2238.4,3019.6,85.4,2934.1,43.7,2890.5,570.1,801.1,4261.7,50.1%,49.9%,1116.6,1303.6,1224.4,28.7,9.9,39.7,119,8,27,33.4,24.8,339.1,41.5,93,138,57.5,70.9,124.7,7509.1,26,1298.9,79.2,294.6
08/2021,197,0,0,0,377.4,2297.8,2872.3,113.1,2759.2,9.6,2749.6,642.2,88.7,3480.4,0.0%,100.0%,,,,,,,,,,,,,,,,,,,4049.1,8.5,865.7,92.7,282.9
12/2008,304.8,0,30.6,0,515.4,1721.3,2572.2,84.4,2487.8,56.7,2431.1,568.4,1153,4152.5,52.0%,48.0%,1329.3,1142.2,913.5,34.1,10.1,30,144.4,13.2,22.9,49.3,34.7,339.1,107,118.3,148.4,73.2,83.8,165.1,7246,26.4,1255.2,89.7,311.2
02/2009,326.4,0,28.4,0,509.1,1892.9,2756.7,76.4,2680.3,40.4,2639.9,560.4,621.3,3821.6,46.4%,53.6%,1157.1,1347,1243.4,32.6,9.7,46.1,112,10.6,27,37.9,25.2,303.7,52.2,103.6,158.2,65.6,80.1,134.8,6531.6,20.9,1224.9,76.7,296.1
03/2009,338,0,15.2,0,711.7,1797.6,2862.6,71.2,2791.3,26.8,2764.6,595.6,636.9,3997,43.4%,56.6%,1149,1200,978.1,25.9,7.2,40.4,87.5,10.2,27,49.8,30.7,322.8,50.1,98,141.5,62.6,82.9,145.4,6366.7,17.4,1612.6,85.9,318.9
04/2009,364.6,0,0,0,716.4,1445.2,2526.2,57.4,2468.7,27.9,2440.8,625.9,549.2,3615.9,43.0%,57.0%,1291,1169.6,907.3,26.1,9.9,39.9,152.5,11.5,27,57.2,29.3,365.2,54.1,104.1,151.1,66.4,86.6,146.1,5762.5,13.1,1542.4,86.1,311.7
05/2009,547.1,0,0,0,839,1227,2613,61.2,2551.9,14.1,2537.7,652,506.8,3696.5,38.3%,61.7%,1187.3,1173.3,858.1,27.8,13.1,34.1,149.7,10.1,27,47.2,26,335.5,51.9,91.1,140.6,64,68.5,141.6,5428,6,1772.9,86.6,324.6
06/2009,395.8,0,0,0,966.7,714.9,2077.4,50.3,2027.1,10.7,2016.4,584.2,1247.2,3847.8,38.8%,61.2%,1220,1259.8,785.4,30.7,8.2,34.3,153.2,11.4,27,51.4,29.1,315.5,42.6,100,158.2,62.9,77.7,156.6,5407,4.6,2007.2,89.8,330.1
07/2009,262.4,58.3,90.9,0,1155.1,873.5,2440.2,91.2,2349,39.4,2309.6,594.3,1448.5,4352.4,0.0%,100.0%,1193.9,1096.2,734.1,28.9,8.7,29.3,133.9,11,25.8,46.8,24.5,294.9,88.5,97.5,154.5,59.2,79.4,148.6,6288.2,4.2,2708.8,100.8,359.5
08/2009,212.4,76.2,4.2,0,924.9,2228.6,3446.2,105.3,3340.9,22.3,3318.6,531.3,79.1,3929,0.0%,100.0%,1301.8,1139.8,851.9,33.4,7.9,27.7,135.4,12.4,25.8,44.4,26.6,419.8,40,104.8,165.4,60,81.9,157.6,4921.1,3.7,1943.2,93.7,292.8
09/2009,183.9,73.6,0,0,918.4,1996.9,3172.8,101.2,3071.6,19.4,3052.2,538.3,250.9,3841.4,0.0%,100.0%,1125,1283.3,818.4,41.5,6.9,32.6,142.3,6.5,19.9,36.5,20.2,351.9,76.9,73.2,169.9,30.1,64.6,100.4,5470.9,4.7,1931.2,85.8,313.8
