ANY,Codi municipi,Nom municipi,Comarca,Província,Núm instal·lacions,Potència (kW),Producció bruta (kWh),Consums propis (kWh),Producció neta (kWh),Consums bombament (kWh),Produccció disponible (kWh),Autoconsum (kWh),Vendes a la xarxa (kWh),Distribució pròpia (kWh),Energia tèrmica recuperada (Kcal)
2012,25062,CAMARASA,NOGUERA,LLEIDA,6,68153.4,"137,091,178.00","1,765,000.00","135,326,178.00",0,"25,619,178.00",0,"25,619,178.00",0,0
2013,25062,CAMARASA,NOGUERA,LLEIDA,6,68153.4,"273,896,005.00","3,184,000.00","270,712,005.00",0,"53,345,005.00",0,"53,345,005.00",0,0
2014,25062,CAMARASA,NOGUERA,LLEIDA,6,68153.4,"255,408,106.00","2,610,000.00","252,798,106.00",0,"59,646,106.00",0,"59,646,106.00",0,0
2015,25062,CAMARASA,NOGUERA,LLEIDA,6,68153.4,"171,875,577.00","1,859,000.00","170,016,577.00",0,"41,043,577.00",0,"41,043,577.00",0,0
2016,25062,CAMARASA,NOGUERA,LLEIDA,6,68153.4,"175,708,077.00","2,207,000.00","173,501,077.00",0,"34,883,077.00",0,"34,883,077.00",0,0
2017,25062,CAMARASA,NOGUERA,LLEIDA,6,68153.4,"161,636,571.00","2,001,876.00","159,634,695.00",0,"34,698,539.00",0,"34,698,539.00",0,0
2018,25062,CAMARASA,NOGUERA,LLEIDA,6,68153.4,"256,183,340.00","2,784,948.00","253,398,392.00",0,"54,504,196.00",0,"54,504,196.00",0,0
2010,43903,CAMARLES,BAIX EBRE,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43903,CAMARLES,BAIX EBRE,TARRAGONA,3,31.6,"42,654.00",0,"42,654.00",0,"42,654.00",0,"42,654.00",0,0
2012,43903,CAMARLES,BAIX EBRE,TARRAGONA,4,731.6,"999,046.00",0,"999,046.00",0,"999,046.00",0,"999,046.00",0,0
2013,43903,CAMARLES,BAIX EBRE,TARRAGONA,4,731.6,"965,937.00",0,"965,937.00",0,"965,937.00",0,"965,937.00",0,0
2014,43903,CAMARLES,BAIX EBRE,TARRAGONA,4,731.6,"1,014,257.00",0,"1,014,257.00",0,"1,014,257.00",0,"1,014,257.00",0,0
2015,43903,CAMARLES,BAIX EBRE,TARRAGONA,4,731.6,"1,023,416.00",0,"1,023,416.00",0,"1,023,416.00",0,"1,023,416.00",0,0
2016,43903,CAMARLES,BAIX EBRE,TARRAGONA,4,731.6,0,0,0,0,0,0,0,0,0
2017,43903,CAMARLES,BAIX EBRE,TARRAGONA,4,731.6,0,0,0,0,0,0,0,0,0
2018,43903,CAMARLES,BAIX EBRE,TARRAGONA,4,731.6,0,0,0,0,0,0,0,0,0
2010,43038,CAMBRILS,BAIX CAMP,TARRAGONA,7,542,"771,664.00",0,"771,664.00",0,"771,664.00",0,"771,664.00",0,0
2011,43038,CAMBRILS,BAIX CAMP,TARRAGONA,9,582,"743,324.00",0,"743,324.00",0,"743,324.00",0,"743,324.00",0,0
2012,43038,CAMBRILS,BAIX CAMP,TARRAGONA,10,602,"813,213.00",0,"813,213.00",0,"813,213.00",0,"813,213.00",0,0
2013,43038,CAMBRILS,BAIX CAMP,TARRAGONA,10,602,"858,229.00",0,"858,229.00",0,"858,229.00",0,"858,229.00",0,0
2014,43038,CAMBRILS,BAIX CAMP,TARRAGONA,9,597,"809,475.00",0,"809,475.00",0,"809,475.00",0,"809,475.00",0,0
2015,43038,CAMBRILS,BAIX CAMP,TARRAGONA,9,597,"838,774.00",0,"838,774.00",0,"838,774.00",0,"838,774.00",0,0
2016,43038,CAMBRILS,BAIX CAMP,TARRAGONA,9,597,0,0,0,0,0,0,0,0,0
2017,43038,CAMBRILS,BAIX CAMP,TARRAGONA,9,597,0,0,0,0,0,0,0,0,0
2018,43038,CAMBRILS,BAIX CAMP,TARRAGONA,9,597,0,0,0,0,0,0,0,0,0
2010,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,"81,534.00",0,"81,534.00",0,"81,534.00",0,"81,534.00",0,0
2011,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,"61,010.00",0,"61,010.00",0,"61,010.00",0,"61,010.00",0,0
2012,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,"58,356.00",0,"58,356.00",0,"58,356.00",0,"58,356.00",0,0
2013,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,"55,317.00",0,"55,317.00",0,"55,317.00",0,"55,317.00",0,0
2014,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,"53,699.00",0,"53,699.00",0,"53,699.00",0,"53,699.00",0,0
2015,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,"55,019.00",0,"55,019.00",0,"55,019.00",0,"55,019.00",0,0
2016,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,0,0,0,0,0,0,0,0,0
2017,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,0,0,0,0,0,0,0,0,0
2018,17035,CAMOS,PLA DE L'ESTANY,GIRONA,3,55.4,0,0,0,0,0,0,0,0,0
2010,17036,CAMPDEVANOL,RIPOLLES,GIRONA,5,1671,"7,986,635.00","149,600.00","7,837,035.00",0,"7,837,035.00",0,"7,837,035.00",0,0
2011,17036,CAMPDEVANOL,RIPOLLES,GIRONA,5,1671,"7,506,877.00","152,749.00","7,354,128.00",0,"7,354,128.00",0,"7,354,128.00",0,0
2012,17036,CAMPDEVANOL,RIPOLLES,GIRONA,5,1671,"5,718,471.00","113,532.00","5,604,939.00",0,"5,604,939.00",0,"5,604,939.00",0,0
2013,17036,CAMPDEVANOL,RIPOLLES,GIRONA,5,1671,"7,390,177.00","149,283.00","7,240,894.00",0,"7,240,894.00",0,"7,240,894.00",0,0
2014,17036,CAMPDEVANOL,RIPOLLES,GIRONA,5,1671,"8,622,632.00","162,445.00","8,460,187.00",0,"8,460,187.00",0,"8,460,187.00",0,0
2015,17036,CAMPDEVANOL,RIPOLLES,GIRONA,4,1581,"7,175,814.00","171,271.00","7,004,543.00",0,"7,004,543.00",0,"7,004,543.00",0,0
2016,17036,CAMPDEVANOL,RIPOLLES,GIRONA,4,1581,"5,306,131.00","118,324.00","5,187,807.00",0,"5,187,807.00",0,"5,187,807.00",0,0
2017,17036,CAMPDEVANOL,RIPOLLES,GIRONA,4,1581,"5,664,478.00","133,450.00","5,531,028.00",0,"5,531,028.00",0,"5,531,028.00",0,0
2018,17036,CAMPDEVANOL,RIPOLLES,GIRONA,4,1581,"8,413,164.00","239,299.00","8,173,865.00",0,"8,173,865.00",0,"8,173,865.00",0,0
2010,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,17037,CAMPELLES,RIPOLLES,GIRONA,2,666,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,"815,096.00",0,"815,096.00",0,"815,096.00",0,"815,096.00",0,0
2011,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,"844,411.00",0,"844,411.00",0,"844,411.00",0,"844,411.00",0,0
2012,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,"872,550.00",0,"872,550.00",0,"872,550.00",0,"872,550.00",0,0
2013,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,"833,498.00",0,"833,498.00",0,"833,498.00",0,"833,498.00",0,0
2014,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,"795,794.00",0,"795,794.00",0,"795,794.00",0,"795,794.00",0,0
2015,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,"840,189.00",0,"840,189.00",0,"840,189.00",0,"840,189.00",0,0
2016,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,0,0,0,0,0,0,0,0,0
2017,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,0,0,0,0,0,0,0,0,0
2018,17038,CAMPLLONG,GIRONES,GIRONA,6,599.8,0,0,0,0,0,0,0,0,0
2010,17039,CAMPRODON,RIPOLLES,GIRONA,6,744,"3,524,860.00","47,085.00","3,477,775.00",0,"3,477,775.00","19,376.00","3,458,399.00",0,0
2011,17039,CAMPRODON,RIPOLLES,GIRONA,6,744,"3,832,500.00","47,986.00","3,784,514.00",0,"3,784,514.00","35,634.00","3,748,880.00",0,0
2012,17039,CAMPRODON,RIPOLLES,GIRONA,6,744,"1,952,567.00","22,475.00","1,930,092.00",0,"1,930,092.00","30,916.00","1,899,176.00",0,0
2013,17039,CAMPRODON,RIPOLLES,GIRONA,6,744,"3,808,214.00","45,509.00","3,762,705.00",0,"3,762,705.00","76,458.00","3,686,247.00",0,0
2014,17039,CAMPRODON,RIPOLLES,GIRONA,6,744,"4,180,251.00","53,494.00","4,126,757.00",0,"4,126,757.00","95,640.00","4,031,117.00",0,0
2015,17039,CAMPRODON,RIPOLLES,GIRONA,5,649,"3,646,293.00","47,047.00","3,599,246.00",0,"3,599,246.00","54,646.00","3,544,600.00",0,0
2016,17039,CAMPRODON,RIPOLLES,GIRONA,6,989,"3,750,119.00","33,551.00","3,716,568.00",0,"3,716,568.00","19,528.00","3,697,040.00",0,0
2017,17039,CAMPRODON,RIPOLLES,GIRONA,6,989,"2,502,745.00","16,478.00","2,486,267.00",0,"2,486,267.00","9,093.00","2,477,174.00",0,0
2018,17039,CAMPRODON,RIPOLLES,GIRONA,6,989,"4,972,512.00","45,434.00","4,927,078.00",0,"4,927,078.00","5,684.00","4,921,394.00",0,0
2010,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25063,CANEJAN,VAL D'ARAN,LLEIDA,2,59600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8040,CANET DE MAR,MARESME,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,1,40,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,1,40,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,2,740,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,2,740,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,2,740,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,2,740,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,2,740,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,2,740,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43907,"CANONJA, LA",TARRAGONES,TARRAGONA,2,740,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8041,CANOVELLES,VALLES ORIENTAL,BARCELONA,1,3390,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8041,CANOVELLES,VALLES ORIENTAL,BARCELONA,1,3390,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8041,CANOVELLES,VALLES ORIENTAL,BARCELONA,1,3390,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8041,CANOVELLES,VALLES ORIENTAL,BARCELONA,1,3390,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8041,CANOVELLES,VALLES ORIENTAL,BARCELONA,0,0,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8043,CANYELLES,GARRAF,BARCELONA,2,40,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8043,CANYELLES,GARRAF,BARCELONA,2,40,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8043,CANYELLES,GARRAF,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8043,CANYELLES,GARRAF,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8043,CANYELLES,GARRAF,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8043,CANYELLES,GARRAF,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8043,CANYELLES,GARRAF,BARCELONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8044,CAPELLADES,ANOIA,BARCELONA,2,4882.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8044,CAPELLADES,ANOIA,BARCELONA,2,5894.8,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,17042,CAPMANY,ALT EMPORDA,GIRONA,5,800,"1,297,017.00",0,"1,297,017.00",0,"1,297,017.00",0,"1,297,017.00",0,0
2011,17042,CAPMANY,ALT EMPORDA,GIRONA,5,800,"1,330,495.00",0,"1,330,495.00",0,"1,330,495.00",0,"1,330,495.00",0,0
2012,17042,CAPMANY,ALT EMPORDA,GIRONA,6,820,"1,317,997.00",0,"1,317,997.00",0,"1,317,997.00",0,"1,317,997.00",0,0
2013,17042,CAPMANY,ALT EMPORDA,GIRONA,6,820,"1,138,803.00",0,"1,138,803.00",0,"1,138,803.00",0,"1,138,803.00",0,0
2014,17042,CAPMANY,ALT EMPORDA,GIRONA,6,820,"1,218,520.00",0,"1,218,520.00",0,"1,218,520.00",0,"1,218,520.00",0,0
2015,17042,CAPMANY,ALT EMPORDA,GIRONA,6,820,"1,263,891.00",0,"1,263,891.00",0,"1,263,891.00",0,"1,263,891.00",0,0
2016,17042,CAPMANY,ALT EMPORDA,GIRONA,6,820,0,0,0,0,0,0,0,0,0
2017,17042,CAPMANY,ALT EMPORDA,GIRONA,6,820,0,0,0,0,0,0,0,0,0
2018,17042,CAPMANY,ALT EMPORDA,GIRONA,6,820,0,0,0,0,0,0,0,0,0
2010,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,2,4.2,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,"7,171.00",0,"7,171.00",0,"7,171.00",0,"7,171.00",0,0
2012,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,"10,613.00",0,"10,613.00",0,"10,613.00",0,"10,613.00",0,0
2013,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,"9,822.00",0,"9,822.00",0,"9,822.00",0,"9,822.00",0,0
2014,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,"9,335.00",0,"9,335.00",0,"9,335.00",0,"9,335.00",0,0
2015,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,"8,553.00",0,"8,553.00",0,"8,553.00",0,"8,553.00",0,0
2016,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,0,0,0,0,0,0,0,0,0
2017,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,0,0,0,0,0,0,0,0,0
2018,8046,CARDEDEU,VALLES ORIENTAL,BARCELONA,3,7.7,0,0,0,0,0,0,0,0,0
2010,8047,CARDONA,BAGES,BARCELONA,7,1704,"6,817,126.00","140,256.00","6,676,870.00",0,"6,676,870.00",0,"6,428,608.00","248,262.00",0
2011,8047,CARDONA,BAGES,BARCELONA,7,1704,"5,712,405.00","127,910.00","5,584,495.00",0,"5,584,495.00",0,"5,358,070.00","226,425.00",0
2012,8047,CARDONA,BAGES,BARCELONA,8,1723.9,"5,277,590.00","113,719.00","5,163,871.00",0,"5,163,871.00",0,"4,916,871.00","247,000.00",0
2013,8047,CARDONA,BAGES,BARCELONA,12,1867.9,"6,424,304.00","144,686.00","6,279,618.00",0,"6,279,618.00","56,926.00","5,946,322.00","276,370.00",0
2014,8047,CARDONA,BAGES,BARCELONA,13,1882.9,"5,682,161.00","125,068.00","5,557,093.00",0,"5,557,093.00","143,487.00","5,340,012.00","73,594.00",0
2015,8047,CARDONA,BAGES,BARCELONA,13,1882.9,"6,110,712.00","126,905.00","5,983,807.00",0,"5,983,807.00","136,311.00","5,144,991.00","702,505.00",0
2016,8047,CARDONA,BAGES,BARCELONA,13,1882.9,"5,960,168.00","139,453.00","5,820,715.00",0,"5,820,715.00",0,"5,025,265.00","795,450.00",0
2017,8047,CARDONA,BAGES,BARCELONA,13,1882.9,"6,160,111.00","144,716.00","6,015,395.00",0,"6,015,395.00",0,"5,351,373.00","664,022.00",0
2018,8047,CARDONA,BAGES,BARCELONA,13,1882.9,"7,472,922.00","182,214.00","7,290,708.00",0,"7,290,708.00","314,324.00","6,976,384.00",0,0
2010,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8048,CARME,ANOIA,BARCELONA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43041,CASERES,TERRA ALTA,TARRAGONA,2,57600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,17044,CASSA DE LA SELVA,GIRONES,GIRONA,10,616,"2,224,700.00","88,065.00","2,136,635.00",0,"2,136,635.00",0,"2,136,635.00",0,"352,470,000.00"
2011,17044,CASSA DE LA SELVA,GIRONES,GIRONA,10,616,"2,983,148.00","123,500.00","2,859,648.00",0,"2,859,648.00",0,"2,859,648.00",0,"990,960,000.00"
2012,17044,CASSA DE LA SELVA,GIRONES,GIRONA,11,680.2,"2,717,421.00","114,079.00","2,603,342.00",0,"2,603,342.00",0,"2,603,342.00",0,"915,590,000.00"
2013,17044,CASSA DE LA SELVA,GIRONES,GIRONA,11,680.2,"2,069,416.00","75,244.00","1,994,172.00",0,"1,994,172.00",0,"1,994,172.00",0,"604,050,000.00"
2014,17044,CASSA DE LA SELVA,GIRONES,GIRONA,10,677.7,"2,521,393.00","97,778.00","2,423,615.00",0,"2,423,615.00",0,"2,423,615.00",0,"784,600,000.00"
2015,17044,CASSA DE LA SELVA,GIRONES,GIRONA,10,677.7,"2,507,985.00","97,140.00","2,410,845.00",0,"2,410,845.00",0,"2,410,845.00",0,"779,420,000.00"
2016,17044,CASSA DE LA SELVA,GIRONES,GIRONA,10,677.7,"1,824,230.00","81,321.00","1,742,909.00",0,"1,742,909.00",0,"1,742,909.00",0,"441,640,000.00"
2017,17044,CASSA DE LA SELVA,GIRONES,GIRONA,10,677.7,"1,963,394.00","93,458.00","1,869,936.00",0,"1,869,936.00",0,"1,869,936.00",0,"497,930,000.00"
2018,17044,CASSA DE LA SELVA,GIRONES,GIRONA,10,677.7,"2,247,789.00","106,995.00","2,140,794.00",0,"2,140,794.00",0,"2,140,794.00",0,"431,000,000.00"
2010,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8049,CASSERRES,BERGUEDA,BARCELONA,2,875,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25064,CASTELLAR DE LA RIBERA,SOLSONES,LLEIDA,1,5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"10,965,920.00","8,000.00","10,957,920.00",0,"10,957,920.00","48,058.00","10,909,862.00",0,0
2011,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"10,028,232.00","8,000.00","10,020,232.00",0,"10,020,232.00","38,705.00","9,981,527.00",0,0
2012,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"7,841,131.00","8,000.00","7,833,131.00",0,"7,833,131.00","23,000.00","7,810,131.00",0,0
2013,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"10,349,758.00","8,000.00","10,341,758.00",0,"10,341,758.00","21,000.00","10,320,758.00",0,0
2014,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"12,770,828.00","8,000.00","12,762,828.00",0,"12,762,828.00","24,000.00","12,738,828.00",0,0
2015,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"10,065,873.00","8,000.00","10,057,873.00",0,"10,057,873.00","21,165.00","10,036,708.00",0,0
2016,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"8,663,660.00","7,000.00","8,656,660.00",0,"8,656,660.00","17,158.00","8,639,502.00",0,0
2017,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"8,798,881.00","8,000.00","8,790,881.00",0,"8,790,881.00","15,331.00","8,775,550.00",0,0
2018,8052,CASTELLAR DE N'HUG,BERGUEDA,BARCELONA,3,2605,"13,772,863.00","11,000.00","13,761,863.00",0,"13,761,863.00","15,690.00","13,746,173.00",0,0
